Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
DATE,SKU,CATEGORY,SALE,FORECAST 15D,FORECAST 30D,FORECAST 60D,STOCK,BREAK
2023-01-01 00:00:00,7929525,Eletronicos,681,749.1,851.25,1089.6000000000001,578.85,102.14999999999998
2023-01-01 00:00:00,2318525,Eletronicos,887,975.7,1108.75,1419.2,753.9499999999999,133.05000000000007
2023-01-01 00:00:00,3610914,Eletronicos,969,1065.9,1211.25,1550.4,823.65,145.35000000000002
2023-01-01 00:00:00,3896343,Eletronicos,655,720.5000000000001,818.75,1048,556.75,98.25
2023-01-01 00:00:00,8459605,Eletronicos,886,974.6,1107.5,1417.6000000000001,753.1,132.89999999999998
2023-01-01 00:00:00,3902718,Eletronicos,683,751.3000000000001,853.75,1092.8,580.55,102.45000000000005
2023-01-01 00:00:00,7452883,Eletronicos,985,1083.5,1231.25,1576,837.25,147.75
2023-01-01 00:00:00,1722637,Eletronicos,784,862.4000000000001,980,1254.4,666.4,117.60000000000002
2023-01-01 00:00:00,3617381,Eletronicos,682,750.2,852.5,1091.2,579.6999999999999,102.30000000000007
2023-01-01 00:00:00,4603303,Eletronicos,529,581.9000000000001,661.25,846.4000000000001,449.65,79.35000000000002
2023-01-01 00:00:00,1135034,Móveis,108,118.80000000000001,135,172.8,91.8,16.200000000000003
2023-01-01 00:00:00,2057253,Móveis,70,77,87.5,112,59.5,10.5
2023-01-01 00:00:00,6274848,Móveis,40,44,50,64,34,6
2023-01-01 00:00:00,8541071,Móveis,155,170.5,193.75,248,131.75,23.25
2023-01-01 00:00:00,9130308,Móveis,167,183.70000000000002,208.75,267.2,141.95,25.05000000000001
2023-01-01 00:00:00,7862750,Móveis,171,188.10000000000002,213.75,273.6,145.35,25.650000000000006
2023-01-01 00:00:00,1879142,Móveis,62,68.2,77.5,99.2,52.699999999999996,9.300000000000004
2023-01-01 00:00:00,7322750,Móveis,54,59.400000000000006,67.5,86.4,45.9,8.100000000000001
2023-01-01 00:00:00,1148687,Móveis,67,73.7,83.75,107.2,56.949999999999996,10.050000000000004
2023-01-01 00:00:00,7208935,Móveis,114,125.4,142.5,182.4,96.89999999999999,17.10000000000001
2023-01-01 00:00:00,3287930,Celular,4762,5238.200000000001,5952.5,7619.200000000001,4047.7,714.3000000000002
2023-01-01 00:00:00,4607734,Celular,2884,3172.4,3605,4614.400000000001,2451.4,432.5999999999999
2023-01-01 00:00:00,5332314,Celular,1731,1904.1000000000001,2163.75,2769.6000000000004,1471.35,259.6500000000001
